sex;year;eduсation;place;salary;mark;been;plan;language;quality;career;meeting;country;culture;personal;valuable;performance
Мужской;2000;Средняя школа (10, сейчас 11 классов);Город федерального значения;более 150,000;Хорошо;Нет;Да, планирую;2;3;2;5;3;3;4;Да;Скорее улучшится
Женский;2000;Высшее (студент);Город-миллионник;от 60,001 до 70,000 рублей;Хорошо;Нет;Да, планирую;1;2;2;2;2;2;4;Скорее да, чем нет;Не поменяется
Мужской;2000;Высшее (студент);Город федерального значения;более 150,000;Удовлетворительно;Нет;Нет, не планирую;5;5;2;5;2;3;2;Да;Затрудняюсь ответить
Мужской;2000;Высшее (студент);Город (региональный центр, не миллионник);Затрудняюсь ответить;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;6;4;6;5;5;1;6;Да;Скорее улучшится
Женский;2000;Высшее (студент);Город федерального значения;более 150,000;Хорошо;Нет;Да, планирую;6;4;6;2;5;4;4;Затрудняюсь ответить;Не поменяется
Мужской;1999;Высшее (студент);Город федерального значения;более 150,000;Хорошо;Нет;Нет, не планирую;4;2;5;4;4;3;2;Нет;Не поменяется
Женский;2000;Высшее (студент);Город;от 50,001 до 60,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;5;2;1;5;3;3;4;Скорее да, чем нет;Затрудняюсь ответить
Женский;1998;Высшее (студент);Город-миллионник;более 150,000;Отлично;Да, 1 семестр;Затрудняюсь ответить;2;4;1;6;2;3;3;Нет;Не поменяется
Женский;2000;Высшее (студент);Город федерального значения;от 20,001 до 25,000 рублей;"В основном ""отлично"", иногда ""хорошо""";Нет;Нет, не планирую;3;7;6;5;3;3;3;Скорее нет, чем да;Не поменяется
Женский;2000;Высшее (студент);Город;от 50,001 до 60,000 рублей;Хорошо;Нет;Затрудняюсь ответить;3;3;3;2;2;1;1;Скорее да, чем нет;Не поменяется
Женский;2001;Высшее (студент);Город;более 150,000;Отлично;Нет;Да, планирую;2;1;1;1;4;6;6;Да;Скорее улучшится
Женский;1999;Высшее (студент);Город федерального значения;более 150,000;"В основном ""отлично"", иногда ""хорошо""";Нет;Да, планирую;3;6;7;5;7;7;7;Да;Улучшится
